number,first,last,position,ops,slg,index,selected,salary
1,Mendoza,Player,,0.25,0.3,0.8,0,700000
2,Jose,Abreu,1B,0.378,0.446,1.202,0,19500000
3,Ehire,Adrianza,SS,0.313,0.231,0.857,0,1000000
4,Jesus,Aguilar,1B,0.281,0.379,0.941,0,3000000
5,Hanser,Alberto,2B,0.258,0.365,0.881,0,1300000
6,Jorge,Alfaro,C,0.305,0.396,1.006,0,2000000
7,Brian,Anderson,3B,0.311,0.346,0.968,0,720000
8,Elvis,Andrus,SS,0.303,0.404,1.01,0,3000000
9,Willians,Astudillo,C,0.255,0.296,0.806,0,720000
10,Tucker,Barnhart,C,0.287,0.267,0.841,0,3250000
11,Matt,Beaty,3B,0.17,0.163,0.503,0,1250000
12,Josh,Bell,1B,0.362,0.422,1.146,0,16500000
13,Cody,Bellinger,CF,0.265,0.389,0.919,0,17500000
14,Brandon,Belt,1B,0.326,0.35,1.002,0,9300000
15,Andrew,Benintendi,LF,0.373,0.399,1.145,0,15000000
16,Greg,Bird,1B,0.325,0.354,1.004,0,720000
17,Travis,Blankenhorn,3B,0.208,0.391,0.807,0,720000
18,Xander,Bogaerts,SS,0.377,0.456,1.21,0,25454545
19,Jackie,Bradley Jr. ,CF,0.255,0.311,0.821,0,900000
20,Michael,Brantley,LF,0.37,0.416,1.156,0,12000000
21,Lewis,Brinson,CF,0.211,0.472,0.894,0,720000
22,Socrates,Brito,LF,0.163,0.128,0.454,0,720000
23,D.J.,Burt,3B,0.363,0.347,1.073,0,720000
24,Jeimer,Candelario,3B,0.272,0.361,0.905,0,5000000
26,Matt,Carpenter,3B,0.412,0.727,1.551,0,6000000
27,Curt,Casali,C,0.318,0.331,0.967,0,3250000
28,Harold,Castro,3B,0.3,0.381,0.981,0,1300000
29,Jason,Castro,C,0.205,0.179,0.589,0,720000
30,Willi,Castro,SS,0.284,0.367,0.935,0,1800000
31,Yu-Cheng,Chang,SS,0.289,0.315,0.893,0,850000
32,Robinson,Chirinos,C,0.265,0.287,0.817,0,720000
33,Michael,Conforto,LF,0.344,0.384,1.072,0,18000000
34,Willson,Contreras,C,0.349,0.466,1.164,0,17500000
35,Franchy,Cordero,1B,0.3,0.397,0.997,0,1000000
36,Carlos,Correa,SS,0.366,0.467,1.199,0,33333333
37,Kaleb,Cowart,DH,0.192,0.28,0.664,0,720000
38,Nelson,Cruz,DH,0.313,0.337,0.963,0,1000000
39,Charlie,Culberson,3B,0.283,0.357,0.923,0,720000
40,Cheslor,Cuthbert,3B,0.294,0.379,0.967,0,720000
41,Matt,Davidson,DH,0.216,0.324,0.756,0,720000
42,Jaylin,Davis,RF,0.407,0.375,1.189,0,720000
44,Ben,DeLuzio,CF,0.292,0.2,0.784,0,720000
45,Travis,Demeritte,LF,0.26,0.337,0.857,0,720000
46,Aledmys,Diaz,SS,0.287,0.403,0.977,0,7250000
47,Alex,Dickerson,LF,0.194,0.212,0.6,0,720000
48,Corey,Dickerson,LF,0.3,0.399,0.999,0,2250000
49,Wilmer,Difo,SS,0.329,0.384,1.042,0,1200000
50,Brandon,Drury,3B,0.241,0.327,0.809,0,8500000
51,Matt,Duffy,3B,0.36,0.48,1.2,0,1500000
53,Adam,Duvall,RF,0.276,0.401,0.953,0,7000000
54,Adam,Engel,RF,0.269,0.31,0.848,0,1000000
56,Adam,Frazier,2B,0.301,0.311,0.913,0,8000000
58,Cam,Gallagher,C,0.267,0.333,0.867,0,1250000
59,Joey,Gallo,LF,0.28,0.357,0.917,0,11000000
60,Leury,Garcia,2B,0.233,0.267,0.733,0,720000
61,Ryan,Goins,2B,0.333,0.347,1.013,0,720000
62,Marwin,Gonzalez,3B,0.255,0.321,0.831,0,720000
63,Terrance,Gore,CF,0.143,0.143,0.429,0,720000
64,Philip,Gosselin,2B,0.182,0.176,0.54,0,720000
66,Robbie,Grossman,RF,0.31,0.311,0.931,0,2000000
67,Yulieski,Gurriel,1B,0.288,0.36,0.936,0,1250000
68,Mitch,Haniger,RF,0.308,0.429,1.045,0,14500000
69,Josh,Harrison,2B,0.317,0.37,1.004,0,2000000
71,Adeiny,Hechavarria,SS,0.302,0.305,0.909,0,720000
72,Austin,Hedges,C,0.241,0.248,0.73,0,5000000
73,Guillermo,Heredia,CF,0.22,0.342,0.782,0,720000
74,Jason,Heyward,RF,0.278,0.277,0.833,0,720000
75,Eric,Hosmer,1B,0.334,0.382,1.05,0,720000
76,Joe,Hudson,C,0.263,0.176,0.702,0,720000
77,Travis,Jankowski,RF,0.281,0.164,0.726,0,720000
78,Aaron,Judge,RF,0.425,0.686,1.536,0,40000000
79,Kevin,Kiermaier,CF,0.281,0.369,0.931,0,9000000
81,Tommy,La Stella,2B,0.282,0.35,0.914,0,720000
82,Jake,Lamb,1B,0.315,0.392,1.022,0,1250000
83,Tim,Locastro,OF,0.239,0.349,0.827,0,1400000
84,Evan,Longoria,3B,0.315,0.451,1.081,0,4000000
85,Luke,Maile,C,0.301,0.326,0.928,0,1175000
86,Trey,Mancini,OF,0.319,0.391,1.029,0,7000000
88,Deven,Marrero,SS,0.316,0.375,1.007,0,720000
89,J.D.,Martinez,DH,0.341,0.448,1.13,0,10000000
90,Nomar,Mazara,RF,0.316,0.372,1.004,0,720000
91,Andrew,McCutchen,DH,0.316,0.384,1.016,0,5000000
92,Danny,Mendick,2B,0.343,0.443,1.129,0,1000000
93,Yermin,Mercedes,C,0.325,0.342,0.992,0,720000
95,Taylor,Motter,SS,0.286,0.385,0.957,0,775000
96,Mike,Moustakas,3B,0.295,0.345,0.935,0,720000
97,Wil,Myers,RF,0.315,0.398,1.028,0,7500000
98,Omar,Narvaez,C,0.292,0.305,0.889,0,7500000
99,Brandon,Nimmo,CF,0.367,0.433,1.167,0,20250000
100,Rougned,Odor,2B,0.275,0.357,0.907,0,800000
102,Gerardo,Parra,RF,0.292,0.351,0.935,0,720000
103,Joc,Pederson,LF,0.353,0.521,1.227,0,19650000
104,David,Peralta,LF,0.316,0.415,1.047,0,6500000
105,Jose,Peraza,SS,0.266,0.38,0.912,0,720000
106,Roberto,Perez,C,0.333,0.367,1.033,0,2500000
108,Jace,Peterson,3B,0.316,0.382,1.014,0,4750000
109,Tommy,Pham,LF,0.312,0.374,0.998,0,6000000
110,Kevin,Pillar,CF,0.154,0.167,0.475,0,3000000
111,Stephen,Piscotty,RF,0.252,0.341,0.845,0,1000000
112,A.J.,Pollock,LF,0.292,0.389,0.973,0,7000000
113,Jurickson,Profar,LF,0.331,0.391,1.053,0,7750000
114,Victor,Reyes,CF,0.289,0.362,0.94,0,720000
115,J.T.,Riddle,SS,0.25,0.25,0.75,0,720000
116,Edwin,Rios,3B,0.293,0.5,1.086,0,1000000
117,Anthony,Rizzo,1B,0.338,0.48,1.156,0,20000000
119,Gary,Sanchez,C,0.282,0.377,0.941,0,4000000
120,Miguel,Sano,1B,0.211,0.133,0.555,0,720000
121,Carlos,Santana,1B,0.315,0.376,1.006,0,6725000
123,Jean,Segura,2B,0.336,0.387,1.059,0,8500000
124,Pedro,Severino,C,0.333,0.333,0.999,0,1950000
125,Chance,Sisco,C,0.241,0.189,0.671,0,720000
126,Dominic,Smith,LF,0.276,0.284,0.836,0,2000000
127,Kevin,Smith,P,0.216,0.302,0.734,0,720000
128,Donovan,Solano,2B,0.339,0.385,1.063,0,2000000
129,D.J.,Stewart,LF,0.324,0.374,1.022,0,720000
130,Kurt,Suzuki,C,0.266,0.295,0.827,0,720000
131,Dansby,Swanson,SS,0.329,0.447,1.105,0,25285714
132,Raimel,Tapia,LF,0.292,0.38,0.964,0,2000000
134,Dillon,Thomas,OF,0.286,0.091,0.663,0,720000
135,Luis,Torrens,C,0.283,0.298,0.864,0,1200000
136,Justin,Turner,3B,0.35,0.438,1.138,0,10850000
137,Trea,Turner,SS,0.343,0.466,1.152,0,27272727
138,Josh,VanMeter,2B,0.266,0.292,0.824,0,720000
139,Christian,Vazquez,C,0.315,0.399,1.029,0,10000000
140,Meibrys,Viloria,C,0.28,0.27,0.83,0,720000
141,Stephen,Vogt,C,0.241,0.321,0.803,0,720000
142,Luke,Voit,DH,0.308,0.402,1.018,0,2000000
143,Jason,Vosler,3B,0.342,0.469,1.153,0,1000000
144,Marcus,Wilson,OF,0.333,0.2,0.866,0,720000
145,Austin,Wynns,C,0.313,0.358,0.984,0,720000
146,Mike,Zunino,C,0.195,0.304,0.694,0,6000000
