number,first,last,position,ops,slg,index,selected,salary
42,Charlie,Culberson,3B,0.296,0.381,0.973,0,1750000
43,Odubel,Herrera,CF,0.31,0.416,1.036,0,1750000
44,Kurt,Suzuki,C,0.294,0.342,0.93,0,1750000
45,Hanser,Alberto,2B,0.291,0.402,0.984,0,1600000
46,Travis,Shaw,1B,0.286,0.373,0.945,0,1500000
47,Ehire,Adrianza,SS,0.327,0.401,1.055,0,1500000
48,Clint,Frazier,OF,0.317,0.317,0.951,0,1500000
49,Johan,Camargo,3B,0.325,0.401,1.051,0,1400000
50,Jake,Marisnick,CF,0.286,0.375,0.947,0,1300000
51,Travis,Jankowski,RF,0.364,0.351,1.079,0,1250000
52,Greg,Bird,1B,0.362,0.532,1.256,0,1000000
53,Colin,Moran,1B,0.334,0.39,1.058,0,1000000
54,Alex,Dickerson,LF,0.304,0.42,1.028,0,1000000
55,Chris,Owings,SS,0.42,0.628,1.468,0,1000000
56,Dan,Vogelbach,DH,0.349,0.381,1.079,0,1000000
57,Steven,Souza,RF,0.222,0.333,0.777,0,1000000
58,Tim,Locastro,OF,0.217,0.429,0.863,0,900000
59,Luke,Maile,C,0.382,0.433,1.197,0,900000
60,Robinson,Chirinos,C,0.318,0.243,0.879,0,900000
61,Jed,Lowrie,2B,0.318,0.398,1.034,0,850000
62,Stephen,Vogt,C,0.283,0.333,0.899,0,850000
63,Andrew,Knapp,C,0.215,0.214,0.644,0,800000
64,Billy,McKinney,OF,0.28,0.358,0.918,0,800000
65,Pat,Valaika,SS,0.25,0.29,0.79,0,775000
66,Michael,Hermosillo,CF,0.237,0.5,0.974,0,707000
67,Taylor,Motter,SS,0.276,0.308,0.86,0,700000
68,Sandy,Leon,C,0.237,0.267,0.741,0,700000
69,Roman,Quinn,CF,0.306,0.288,0.9,0,700000
70,Delino,DeShields,CF,0.375,0.426,1.176,0,700000
71,Monte,Harrison,CF,0.333,0.442,1.108,0,700000
72,Chance,Sisco,C,0.241,0.189,0.671,0,700000
73,Dexter,Fowler,RF,0.286,0.25,0.822,0,700000
74,Mark,Payton,LF,0.25,0.182,0.682,0,700000
75,J.T.,Riddle,SS,0.333,0.333,0.999,0,700000
76,Franklin,Barreto,SS,0.107,0.074,0.288,0,700000
77,Billy,Hamilton,CF,0.242,0.378,0.862,0,700000
78,Brandon,Drury,3B,0.307,0.476,1.09,0,700000
79,Albert,Almora,CF,0.148,0.173,0.469,0,700000
80,Brock,Holt,2B,0.281,0.298,0.86,0,700000
81,Ronald,Torreyes,2B,0.286,0.346,0.918,0,700000
82,Austin,Wynns,C,0.232,0.308,0.772,0,700000
83,Philip,Gosselin,2B,0.314,0.362,0.99,0,700000
84,Beau,Taylor,C,0.339,0.333,1.011,0,700000
85,Kean,Wong,2B,0.194,0.233,0.621,0,700000
86,Ryan,LaMarre,LF,0.292,0.476,1.06,0,700000
87,Mike,Ford,1B,0.278,0.283,0.839,0,700000
88,Phillip,Evans,3B,0.312,0.299,0.923,0,700000
89,Austin,Romine,C,0.242,0.3,0.784,0,700000
90,Grayson,Greiner,C,0.321,0.333,0.975,0,700000
91,Ryan,Lavarnway,C,0.276,0.357,0.909,0,700000
92,Ronald,Guzman,1B,0.244,0.314,0.802,0,700000
93,Gerardo,Parra,RF,0.292,0.351,0.935,0,700000
94,Scott,Schebler,CF,0.147,0.235,0.529,0,700000
95,Lewis,Brinson,CF,0.263,0.376,0.902,0,700000
96,Joe,Hudson,C,0.263,0.176,0.702,0,700000
97,Trayce,Thompson,CF,0.4,0.714,1.514,0,700000
98,Ildemaro,Vargas,2B,0.217,0.221,0.655,0,700000
99,Jose,Peraza,SS,0.266,0.38,0.912,0,700000
100,Jacoby,Jones,CF,0.21,0.25,0.67,0,700000
101,Andrew,Knapp,C,0.215,0.214,0.644,0,700000
102,Christian,Bethancourt,C,0.339,0.468,1.146,0,700000
103,Erik,Gonzalez,SS,0.258,0.3,0.816,0,700000
104,Curtis,Terry,1B,0.146,0.133,0.425,0,700000
105,Yohel,Pozo,C,0.312,0.378,1.002,0,700000
106,Jake,Hager,OF,0.233,0.115,0.581,0,700000
107,Rougned,Odor,2B,0.286,0.379,0.951,0,700000
108,Jason,Martin,OF,0.248,0.354,0.85,0,700000
109,Anderson,Tejeda,SS,0.266,0.368,0.9,0,700000
110,Justin,Upton,LF,0.296,0.409,1.001,0,700000
111,Kyle,Seager,3B,0.285,0.438,1.008,0,700000
112,Michael,Conforto,RF,0.344,0.384,1.072,0,700000
113,Shogo,Akiyama,OF,0.282,0.253,0.817,0,700000
114,Brett,Gardner,LF,0.327,0.362,1.016,0,700000
115,Mitch,Moreland,1B,0.286,0.415,0.987,0,700000
116,Joe,Panik,2B,0.266,0.284,0.816,0,700000
117,Jeff,Mathis,C,0.221,0.355,0.797,0,700000
118,Daniel,Santana,OF,0.252,0.345,0.849,0,700000
119,Asdrubal,Cabrera,2B,0.313,0.366,0.992,0,700000
120,Brock,Holt,2B,0.281,0.298,0.86,0,700000
121,Jarrod,Dyson,CF,0.26,0.289,0.809,0,700000
122,Todd,Frazier,3B,0.2,0.114,0.514,0,700000
123,Alex,Avila,C,0.345,0.348,1.038,0,700000
124,Freddy,Galvis,SS,0.302,0.407,1.011,0,700000
125,Jake,Marisnick,CF,0.286,0.375,0.947,0,700000
126,Juan,Lagares,CF,0.266,0.372,0.904,0,700000
127,Jon,Jay,RF,0.357,0.357,1.071,0,700000
128,Jose,Martinez,1B,0.232,0.328,0.792,0,700000
129,Brian,Goodwin,RF,0.319,0.374,1.012,0,700000
130,Jose,Lobaton,C,0.347,0.41,1.104,0,700000
131,Matt,Duffy,3B,0.357,0.381,1.095,0,700000
132,Wilson,Ramos,C,0.248,0.397,0.893,0,700000
133,Jordy,Mercer,SS,0.307,0.364,0.978,0,700000
134,Brian,O'Grady,LF,0.267,0.333,0.867,0,700000
135,Mike,Tauchman,CF,0.284,0.283,0.851,0,700000
136,Ryan,McBroom,1B,0.333,0.25,0.916,0,700000
137,Jose,Marmolejos,LF,0.262,0.311,0.835,0,700000
138,Willians,Astudillo,C,0.259,0.375,0.893,0,700000
139,Alex,Blandino,3B,0.317,0.257,0.891,0,700000
140,Mike,Freeman,2B,0.262,0.186,0.71,0,700000
141,Nick,Martini,RF,0.356,0.297,1.009,0,700000
142,Jorge,Bonifacio,RF,0.277,0.326,0.88,0,700000
143,Andrew,Romine,SS,0.234,0.267,0.735,0,700000
144,Jose,Rondon,2B,0.322,0.413,1.057,0,700000
145,Cameron,Maybin,RF,0.307,0.387,1.001,0,700000
146,Joseph,Odom,C,0.209,0.128,0.546,0,700000
147,Breyvic,Valera,2B,0.313,0.356,0.982,0,700000
148,Khris,Davis,DH,0.272,0.363,0.907,0,700000
149,Tyler,Ladendorf,2B,0.297,0.424,1.018,0,700000
150,Troy,Stokes,OF,0.297,0.309,0.903,0,700000
151,Pete,Kozma,SS,0.307,0.337,0.951,0,700000
152,Taylor,Davis,C,0.344,0.325,1.013,0,700000
153,Drew,Butera,C,0.125,0.216,0.466,0,700000
154,Renato,Nunez,3B,0.218,0.472,0.908,0,700000
155,Ryan,Goins,2B,0.305,0.33,0.94,0,700000
