number,first,last,position,ops,slg,index,selected,salary
1,Mendoza,Player,NA,0.25,0.3,0.8,0,700000
2,Corey,Seager,SS,0.394,0.521,1.309,0,32500000
3,Kris,Bryant,OF,0.344,0.444,1.132,0,26000000
4,Marcus,Semien,2B,0.334,0.538,1.206,0,25000000
5,Freddie,Freeman,1B,0.393,0.503,1.289,0,27000000
6,Trevor,Story,SS,0.329,0.471,1.129,0,23333333
7,Javier,Baez,SS,0.371,0.515,1.257,0,23333333
8,Carlos,Correa,SS,0.366,0.485,1.217,0,35100000
9,Nick,Castellanos,DH,0.362,0.576,1.3,0,20000000
10,Kyle,Schwarber,LF,0.374,0.554,1.302,0,19750000
11,Starling,Marte,CF,0.383,0.458,1.224,0,19500000
12,Chris,Taylor,LF,0.344,0.438,1.126,0,15000000
13,Avisail,Garcia,RF,0.33,0.49,1.15,0,13250000
14,Jorge,Soler,DH,0.316,0.432,1.064,0,12000000
15,Anthony,Rizzo,1B,0.344,0.44,1.128,0,16000000
16,Mark,Canha,LF,0.358,0.387,1.103,0,13250000
17,Eduardo,Escobar,3B,0.314,0.472,1.1,0,10000000
18,Eddie,Rosario,LF,0.305,0.435,1.045,0,9000000
19,Leury,Garcia,2B,0.335,0.376,1.046,0,5500000
20,Nelson,Cruz,DH,0.334,0.497,1.165,0,15000000
21,Yan,Gomes,C,0.301,0.421,1.023,0,6500000
22,Brad,Miller,LF,0.321,0.453,1.095,0,5000000
23,Andrew,McCutchen,DH,0.334,0.444,1.112,0,8500000
24,Manuel,Pina,C,0.293,0.439,1.025,0,4000000
25,Tommy,Pham,LF,0.34,0.383,1.063,0,7500000
26,Jonathan,Villar,SS,0.322,0.416,1.06,0,6000000
27,Joc,Pederson,LF,0.31,0.422,1.042,0,6000000
28,Josh,Harrison,2B,0.341,0.4,1.082,0,5500000
29,Kole,Calhoun,RF,0.297,0.373,0.967,0,5200000
30,Corey,Dickerson,LF,0.326,0.408,1.06,0,5000000
31,Jose,Iglesias,SS,0.309,0.391,1.009,0,5000000
32,Roberto,Perez,C,0.245,0.319,0.809,0,5000000
33,Donovan,Solano,2B,0.344,0.404,1.092,0,4500000
34,Andrelton,Simmons,SS,0.283,0.274,0.84,0,4000000
35,Cesar,Hernandez,2B,0.308,0.386,1.002,0,4000000
36,Yoshitomo,Tsutsugo,1B,0.307,0.383,0.997,0,4000000
37,Albert,Pujols,DH,0.284,0.433,1.001,0,2500000
38,Kevin,Pillar,CF,0.277,0.415,0.969,0,2500000
39,Niko,Goodrum,2B,0.292,0.359,0.943,0,2100000
40,Matt,Carpenter,3B,0.305,0.275,0.885,0,2000000
41,Pedro,Severino,C,0.308,0.383,0.999,0,1900000
