number,first,last,position,ops,slg,index,selected,salary
102,Brian,McCann,C,0.323,0.412,1.058,0,535000
103,Erick,Mejia,2B,0.339,0.382,1.06,0,535000
104,Jordy,Mercer,SS,0.31,0.438,1.058,0,535000
105,Brad,Miller,2B,0.329,0.565,1.223,0,2000000
106,Mitch,Moreland,1B,0.328,0.507,1.163,0,3000000
107,Logan,Morrison,DH,0.263,0.4,0.926,0,535000
108,Mike,Moustakas,3B,0.329,0.516,1.174,0,16000000
109,Peter,O'Brien,RF,0.255,0.517,1.027,0,535000
110,Rafael,Ortega,LF,0.271,0.307,0.849,0,535000
111,Chris,Owings,2B,0.233,0.443,0.909,0,535000
112,Marcell,Ozuna,LF,0.328,0.472,1.128,0,18000000
113,Joe,Panik,2B,0.315,0.336,0.966,0,2850000
114,Steven,Pearce,1B,0.245,0.258,0.748,0,535000
115,Hunter,Pence,RF,0.358,0.552,1.268,0,3000000
116,Cliff,Pennington,SS,0.306,0.413,1.025,0,535000
117,Jose,Peraza,SS,0.285,0.346,0.916,0,3000000
118,Hernan,Perez,2B,0.262,0.379,0.903,0,535000
119,Jace,Peterson,3B,0.269,0.33,0.868,0,535000
120,Josh,Phegley,C,0.282,0.411,0.975,0,535000
121,Kevin,Pillar,CF,0.287,0.432,1.006,0,4250000
122,Jose,Pirela,2B,0.25,0.364,0.864,0,535000
123,Kevin,Plawecki,C,0.287,0.342,0.916,0,900000
124,Yasiel,Puig,RF,0.327,0.458,1.112,0,535000
125,Anthony,Rendon,3B,0.412,0.598,1.422,0,35000000
126,Joey,Rickard,LF,0.312,0.357,0.981,0,535000
127,J.T.,Riddle,SS,0.23,0.371,0.831,0,850000
128,Rene,Rivera,C,0.319,0.501,1.139,0,1000000
129,Yadiel,Rivera,2B,0.258,0.217,0.733,0,535000
130,Shane,Robinson,CF,0.367,0.389,1.123,0,535000
131,Sean,Rodriguez,2B,0.348,0.375,1.071,0,535000
132,Austin,Romine,C,0.31,0.439,1.059,0,4150000
133,Adam,Rosales,2B,0.268,0.324,0.86,0,535000
134,Wilin,Rosario,1B,0.339,0.504,1.182,0,535000
135,Addison,Russell,SS,0.308,0.391,1.007,0,535000
136,John,Ryan,C,0.246,0.413,0.905,0,535000
137,Tyler,Saladino,SS,0.197,0.215,0.609,0,535000
138,Yolmer,Sanchez,3B,0.318,0.321,0.957,0,535000
139,Pablo,Sandoval,3B,0.313,0.507,1.133,0,2000000
140,Domingo,Santana,RF,0.329,0.441,1.099,0,1500000
141,Jonathan,Schoop,2B,0.304,0.473,1.081,0,6100000
142,Travis,Shaw,1B,0.281,0.27,0.832,0,4000000
143,J.B.,Shuck,LF,0.339,0.255,0.933,0,535000
144,Matt,Skole,3B,0.275,0.236,0.786,0,535000
145,Kevan,Smith,C,0.318,0.393,1.029,0,535000
146,Justin,Smoak,1B,0.342,0.406,1.09,0,5000000
147,Travis,Snider,RF,0.402,0.497,1.301,0,535000
148,Eric,Sogard,3B,0.353,0.457,1.163,0,4500000
149,Cory,Spangenberg,2B,0.277,0.358,0.912,0,535000
150,Jesus,Sucre,C,0.269,0.242,0.78,0,535000
151,Blake,Swihart,C,0.222,0.304,0.748,0,535000
152,Beau,Taylor,C,0.333,0.455,1.121,0,535000
153,Eric,Thames,1B,0.346,0.505,1.197,0,4000000
154,Charlie,Tilson,CF,0.293,0.285,0.871,0,535000
155,Kelby,Tomlinson,2B,0.242,0.301,0.785,0,535000
156,Ronald,Torreyes,2B,0.287,0.401,0.975,0,535000
157,Mark,Trumbo,DH,0.225,0.276,0.726,0,535000
158,Stephen,Vogt,C,0.314,0.49,1.118,0,3000000
159,Neil,Walker,2B,0.344,0.395,1.083,0,535000
160,Matt,Wieters,C,0.268,0.435,0.971,0,2000000
161,Mason,Williams,LF,0.324,0.3,0.948,0,535000
162,Bobby,Wilson,C,0.13,0.114,0.374,0,535000
163,Ryan,Zimmerman,1B,0.321,0.415,1.057,0,2000000
164,Ben,Zobrist,2B,0.358,0.313,1.029,0,535000
